,ListingKey,ListingCreationDate,Occupation,BorrowerRate,IncomeRange
48151,FEDA35396146252681D34C6,2012-02-19 13:38:42.940000000,Other,0.2468,"$25,000-49,999"
31493,30A834300857322901BBCCB,2008-09-02 12:19:19.693000000,Teacher,0.1537,"$25,000-49,999"
105478,CBAF3385666422595CF896E,2007-04-07 13:35:49.367000000,Professional,0.2495,"$25,000-49,999"
31425,AC56356282089980780799C,2012-11-07 15:22:27.750000000,Retail Management,0.2199,"$25,000-49,999"
39665,8E5C338663088642003D4E0,2007-04-07 11:34:14.680000000,Analyst,0.115,"$100,000+"
70949,8A56360029038044201FCFB,2014-01-28 10:01:34.160000000,Construction,0.0809,"$50,000-74,999"
60938,82AD34826701690829FF710,2010-04-22 18:04:27.580000000,Professor,0.102,"$75,000-99,999"
69358,EA433577729408143B1F33B,2013-05-03 15:30:09.777000000,Other,0.1089,"$50,000-74,999"
65702,6DAD3570149131152230A72,2013-01-30 13:04:43.373000000,Other,0.2759,"$100,000+"
17800,1B7F360395351062148AB39,2014-02-27 13:39:25.483000000,Professional,0.2644,"$100,000+"
108685,EA073522002254307551589,2011-08-09 17:45:06.577000000,Other,0.1799,"$75,000-99,999"
109886,60043522042122948602E44,2011-07-30 18:23:29.980000000,Retail Management,0.3099,"$25,000-49,999"
26660,2FBF337695814512153E4C8,2007-01-02 08:17:37.353000000,Truck Driver,0.0949,Not displayed
112540,C0E03590436742138FF2AB3,2013-09-20 03:52:00.977000000,Tradesman - Electrician,0.2015,"$50,000-74,999"
91753,57CA340138186200629F291,2007-10-01 11:45:38.160000000,Professional,0.1021,"$75,000-99,999"
75,0DF535815829610812D7705,2013-06-18 15:19:26.643000000,Skilled Labor,0.2859,"$50,000-74,999"
109826,E9D9359079231884438C75E,2013-09-25 07:56:17.907000000,Executive,0.1695,"$50,000-74,999"
84888,B17935971609048869D52FE,2013-12-10 11:50:32.643000000,Other,0.1239,"$100,000+"
59218,D7FD359196541673248C3D5,2013-10-12 16:24:45.543000000,Retail Management,0.1399,"$25,000-49,999"
46666,79153554076090563DC6226,2012-07-25 09:45:42.473000000,Nurse (RN),0.2433,"$50,000-74,999"
97299,D1E23592512004274F87444,2013-10-11 15:29:48.983000000,Sales - Commission,0.1159,"$50,000-74,999"
70547,74693530368121817178542,2011-11-09 19:05:50.847000000,Clerical,0.2574,"$25,000-49,999"
13810,96F83416597729220077ACB,2008-03-14 03:12:33.010000000,Computer Programmer,0.108,"$25,000-49,999"
112448,D4543554378389140CC53F2,2012-08-01 10:10:10.370000000,Professional,0.3177,"$100,000+"
105566,8647358108390257771099E,2013-06-10 11:50:26.500000000,Tradesman - Mechanic,0.2124,"$50,000-74,999"
106845,14BB3582181516612D3B1BA,2013-06-14 06:17:48.523000000,Nurse (RN),0.2419,"$50,000-74,999"
45562,96863543602984504C98DC6,2012-04-13 15:11:21.933000000,Nurse (RN),0.1576,"$50,000-74,999"
99649,57F03600087777614BDF950,2014-01-11 15:23:45.317000000,Pharmacist,0.1239,"$100,000+"
108486,246B3373487610891951255,2006-11-08 15:52:39.200000000,Other,0.135,Not displayed
30556,6A0E3381345052813E10B6C,2007-02-06 17:53:37.753000000,Sales - Commission,0.195,Not displayed
86492,5B3D33979121769187B431A,2007-08-28 15:44:25.023000000,Police Officer/Correction Officer,0.115,"$25,000-49,999"
112949,CAB734147653344217FC514,2008-03-05 14:48:39.560000000,Other,0.1951,"$50,000-74,999"
91589,FB96357951142737321B6B4,2013-05-13 10:24:31.813000000,Teacher,0.2059,"$25,000-49,999"
103563,6A9935648237694137274A3,2012-12-04 09:07:13.023000000,Professional,0.2932,"$25,000-49,999"
26301,0791359574789176035806D,2013-12-03 10:32:32.810000000,Executive,0.1189,"$100,000+"
104030,93983540284969014A72D8B,2012-02-14 23:13:04.230000000,Police Officer/Correction Officer,0.1296,"$75,000-99,999"
16397,A6703603788045216BD10E9,2014-02-19 14:18:58.247000000,Teacher,0.1685,"$50,000-74,999"
53600,E5CF3399638796120C56C56,2007-09-04 11:50:17.133000000,Other,0.2325,"$25,000-49,999"
56981,BB3034327672528446F329E,2008-10-06 10:34:12.143000000,Military Enlisted,0.35,"$25,000-49,999"
95640,5AF73426002984240E728E5,2008-07-22 04:55:22.040000000,Other,0.35,"$25,000-49,999"
73171,7FD53533142045149AC9819,2011-12-14 13:54:46.893000000,Professional,0.3127,"$25,000-49,999"
32630,DA283548871003407E5E2A1,2012-05-24 07:25:31.343000000,Professional,0.1768,"$75,000-99,999"
4866,4AF834065449063124A86C6,2007-11-26 19:10:35.353000000,Skilled Labor,0.24,"$25,000-49,999"
42606,A06D35474116479996EBFAD,2012-05-17 07:32:47.800000000,Professional,0.287,"$1-24,999"
113300,D3CF3588860728980F53238,2013-09-12 19:11:39.530000000,Tradesman - Mechanic,0.166,"$25,000-49,999"
103332,D7ED34282378953355D5A03,2008-08-19 09:58:04.797000000,Other,0.34,"$25,000-49,999"
91070,6C3034145591476223A1037,2008-03-11 09:42:12.270000000,Teacher,0.127,"$25,000-49,999"
72415,8EEF3573079436094984CFC,2013-03-21 08:51:33.060000000,Professional,0.2432,"$100,000+"
33931,D45D33688139655129CF23F,2006-09-28 09:41:17.653000000,Sales - Commission,0.2218,Not displayed
111329,90DD355224239671877E6C3,2012-07-10 16:41:18.100000000,Other,0.3177,"$25,000-49,999"
84017,E84233802665891955C5D19,2007-02-03 12:00:39.140000000,Sales - Commission,0.15,Not displayed
88705,86573418721982500667271,2008-04-12 08:56:25.863000000,Sales - Retail,0.155,"$25,000-49,999"
52941,1E0E3581319940520C99923,2013-06-19 23:57:39.980000000,Nurse (RN),0.1359,"$100,000+"
86303,B91F3582890203627D9D87F,2013-07-10 04:28:00.783000000,Military Enlisted,0.1914,"$50,000-74,999"
103394,CE733598920997014FDC076,2014-01-05 09:34:14.720000000,Food Service Management,0.1139,"$50,000-74,999"
75398,E3BE35519933364132828AA,2012-07-20 12:20:27.637000000,Military Enlisted,0.3177,"$75,000-99,999"
113788,CF7A3581919500332B72FF4,2013-06-19 10:57:19.807000000,Engineer - Electrical,0.1874,"$50,000-74,999"
52792,FCB53421777930856960AF1,2008-05-29 05:52:16.270000000,Teacher,0.143,"$50,000-74,999"
94049,D525359052259032842167D,2013-10-02 14:09:29.507000000,Other,0.195,"$50,000-74,999"
49178,A9E033664213431951044F8,2006-04-26 11:54:31.760000000,,0.2375,Not displayed
66097,D759353770824888633DDEF,2012-02-07 11:52:57.530000000,Attorney,0.0625,"$75,000-99,999"
56373,984A3537033150308558EB5,2012-01-25 12:33:50.300000000,Computer Programmer,0.1845,"$50,000-74,999"
78966,1BED35771665602541D60DB,2013-04-21 10:12:21.300000000,Computer Programmer,0.1819,"$100,000+"
85315,E43D35403499480300F0562,2012-03-06 12:06:17.967000000,Other,0.1449,"$50,000-74,999"
90365,4160360046339713343541D,2014-01-21 13:22:06.683000000,Skilled Labor,0.1305,"$50,000-74,999"
62818,B99333929999325350E21DE,2007-07-05 22:14:09.420000000,Computer Programmer,0.1099,"$25,000-49,999"
42706,D58734192667554653E5FD5,2008-04-30 11:14:37.123000000,Medical Technician,0.1355,"$25,000-49,999"
16875,001D33654297803968707DD,2006-07-10 19:43:12.250000000,,0.2875,Not displayed
67088,96D63569653495812B25D12,2013-01-21 13:43:02.693000000,Other,0.2432,"$25,000-49,999"
19746,9359342202711538739E667,2008-05-16 22:25:14.840000000,Executive,0.12,"$50,000-74,999"
18674,B9F53380841089838BA75F3,2007-02-12 05:38:27.700000000,Professional,0.29,"$25,000-49,999"
3919,0ED73538235018541269771,2012-01-21 08:40:15.527000000,Bus Driver,0.1845,"$1-24,999"
11480,C9213384430176180589B89,2007-03-07 18:51:06.220000000,Analyst,0.09,"$25,000-49,999"
75768,7C1C35768223158568D8E0C,2013-05-05 05:29:23.123000000,Other,0.1679,"$75,000-99,999"
8464,2CE235927898878212AB214,2013-10-13 12:04:06.137000000,Other,0.2225,"$25,000-49,999"
87608,454A3593231178986B1C43D,2013-11-04 14:10:57.650000000,Nurse (RN),0.187,"$100,000+"
36440,CD24359852689549593530D,2013-12-30 15:30:39.983000000,Food Service Management,0.1725,"$50,000-74,999"
101165,94C33426728987366E5EBB0,2008-07-24 07:33:33.630000000,Other,0.3,"$50,000-74,999"
52798,AE2B348688482662556B4A8,2010-06-17 19:01:43.827000000,Professional,0.21,"$75,000-99,999"
78671,B7953564200463688E052BA,2012-11-21 05:40:11.047000000,Laborer,0.2489,"$1-24,999"
90585,28983601029080799F2BBE2,2014-01-26 09:25:46.477000000,Professional,0.093,"$25,000-49,999"
106967,DF54360491375883197B260,2014-03-06 05:23:41.633000000,Pharmacist,0.135,"$100,000+"
52381,1CED3410061402481803418,2008-01-10 13:03:08.857000000,Other,0.27,"$75,000-99,999"
35423,BC6234226312131416C8DA3,2008-06-10 13:12:13.567000000,Other,0.1445,"$25,000-49,999"
2462,0C6B35223572915735AB7D3,2011-07-25 09:03:51.010000000,Engineer - Mechanical,0.1329,"$50,000-74,999"
3302,41B73498265867174085CED,2010-10-14 12:29:56.370000000,Sales - Retail,0.35,"$75,000-99,999"
1064,35983541133056379F4AA5F,2012-03-13 11:00:22.230000000,Computer Programmer,0.0608,"$75,000-99,999"
105666,86E23579917749951E9EE0E,2013-06-03 13:43:26.757000000,Professional,0.2359,"$100,000+"
3413,0C253426217604581117A03,2008-07-10 18:23:57.863000000,Skilled Labor,0.172,"$25,000-49,999"
45510,D52F35967152636491994A5,2013-12-06 18:02:05.460000000,Sales - Retail,0.2624,"$25,000-49,999"
58247,096A357964164294418E8A3,2013-06-06 13:38:02.393000000,Administrative Assistant,0.2786,"$50,000-74,999"
56612,67BE3574368950895B2DB27,2013-03-18 07:59:05.087000000,Other,0.1219,"$50,000-74,999"
109216,68BE3486410391979F3C9FB,2010-06-24 07:56:07.800000000,Civil Service,0.102,"$100,000+"
46205,DA783588922828144E873B1,2013-09-15 12:50:18.317000000,Other,0.2155,"$25,000-49,999"
10160,150D3422818826145B4F8B8,2008-06-13 08:36:36.917000000,Sales - Retail,0.1549,$0
75106,623E33842656008562141EA,2007-03-30 05:51:34.147000000,Nurse (RN),0.11,"$25,000-49,999"
72843,09CD35779137243428578C1,2013-05-13 05:15:55.170000000,Other,0.2862,"$25,000-49,999"
89272,88BC3587348359174A19CDE,2013-08-23 10:05:24.840000000,Other,0.1655,"$75,000-99,999"
81419,9AF335612438830279850E2,2012-10-26 09:50:28.873000000,Retail Management,0.2827,"$25,000-49,999"
12362,A94E358387753445538928C,2013-07-14 15:42:46.943000000,Retail Management,0.1219,"$50,000-74,999"
18048,15B034141238246061A0D01,2008-03-04 03:28:28.870000000,Professor,0.155,"$50,000-74,999"
55666,96B93591735960328F6437E,2013-10-24 15:38:13.403000000,Bus Driver,0.1159,"$50,000-74,999"
82230,FF6D3561636252735A54213,2012-10-19 10:53:30.637000000,Other,0.2759,"$50,000-74,999"
23042,1A8235783179208456AD32E,2013-05-07 13:50:59.047000000,Computer Programmer,0.1649,"$50,000-74,999"
11879,A1683596741224187C12C72,2013-11-30 19:57:56.473000000,Social Worker,0.2474,"$25,000-49,999"
1930,034A34071951547542AF509,2007-12-06 16:11:44.720000000,Teacher,0.135,"$1-24,999"
11348,9E333541466531813AAF62B,2012-03-15 21:54:33.980000000,Other,0.3177,"$25,000-49,999"
41965,C4B33554705866291550A84,2012-08-12 14:55:27.997000000,Nurse's Aide,0.0974,"$25,000-49,999"
54626,D8BE3570015944314915FED,2013-02-15 09:45:23.540000000,Other,0.2916,"$25,000-49,999"
61407,0C853369508323979A70E21,2006-10-04 15:17:30.290000000,Other,0.29,Not displayed
81856,D0B23531415848838126309,2011-11-10 10:07:40.327000000,Other,0.1619,"$1-24,999"
13426,D7E53549107531228F56AA8,2012-06-03 18:59:16.123000000,Food Service,0.2958,"$50,000-74,999"
16260,4AD535505089046570EEB7F,2012-07-03 08:04:50.803000000,Other,0.101,"$50,000-74,999"
19615,AA66353478745840938C3B4,2012-01-02 13:40:37.310000000,Other,0.1621,"$75,000-99,999"
48421,98763573982936854176D0A,2013-03-18 20:58:42.517000000,Food Service,0.2199,"$25,000-49,999"
59699,C341338937638773780D010,2007-05-16 22:02:24.250000000,Other,0.1125,"$100,000+"
61249,A19F360300936018823808D,2014-02-13 13:31:51.703000000,Medical Technician,0.1585,"$25,000-49,999"
85051,EDDB3508675026203F3DF8D,2011-02-23 09:03:21.977000000,Retail Management,0.2599,"$75,000-99,999"
50058,F97E36021361523672BB28C,2014-02-19 11:51:27.440000000,Other,0.1189,"$25,000-49,999"
55049,B61234643880610813F3FBB,2009-09-28 17:30:08.573000000,Laborer,0.2738,"$25,000-49,999"
81088,EC8A34207769970686B66A7,2008-05-17 07:49:48.657000000,Professional,0.17,"$75,000-99,999"
83412,7F7C338620911390418C81C,2007-04-02 13:46:16.800000000,Other,0.15,"$25,000-49,999"
104960,CF6C340165332622902E22E,2007-10-12 13:11:58.503000000,Clerical,0.111,"$1-24,999"
93278,B73136039975532929336C4,2014-02-23 08:13:08.093000000,Construction,0.1385,"$50,000-74,999"
57572,9B813364838692669205001,2006-06-13 22:36:49.747000000,,0.2875,Not displayed
71557,88BE35988104347157AD246,2014-01-15 07:35:04.540000000,Retail Management,0.3059,"$25,000-49,999"
55193,B7B834191518821767B00E1,2008-04-24 13:40:42.553000000,Teacher,0.2088,"$25,000-49,999"
104091,754535764064451306C0FA5,2013-04-22 06:17:16.823000000,Nurse (RN),0.2432,"$75,000-99,999"
35553,1A9B3594932537672DAD4CD,2013-11-06 14:44:10.717000000,Professor,0.1159,"$50,000-74,999"
37481,4AE43409516757243946BDB,2007-12-22 15:46:27.730000000,Analyst,0.1225,"$25,000-49,999"
99069,2F9A3390322290737B5D854,2007-05-15 14:37:04.483000000,Food Service,0.182,"$25,000-49,999"
56657,FF8A3514674697941B2D619,2011-04-26 12:26:19.277000000,Other,0.2199,"$25,000-49,999"
2725,0D79359610720658763B561,2013-12-03 12:59:29.650000000,Computer Programmer,0.3059,"$75,000-99,999"
13929,733D341380492353798951A,2008-02-20 14:55:59.893000000,Computer Programmer,0.1955,"$50,000-74,999"
35053,3ECE3375323602400DD1F8C,2006-11-29 22:41:24.887000000,Clerical,0.29,Not displayed
68526,79673589897752830408D1D,2013-09-27 02:46:51.920000000,Clerical,0.1585,"$25,000-49,999"
94635,ECF23598749500656E39F13,2014-01-12 11:27:48.850000000,Professor,0.0659,"$100,000+"
52668,7EB934887027321025A2752,2010-07-03 11:36:35.653000000,Other,0.1875,"$100,000+"
36080,A744356513327626239C1D4,2012-12-10 13:16:39.480000000,Other,0.0789,"$50,000-74,999"
76879,A1AC35525229600265323F3,2012-07-08 22:11:49.233000000,Other,0.2085,"$25,000-49,999"
28287,349A33647020132527DB1CA,2006-04-24 10:41:50.447000000,,0.2375,Not displayed
4230,7AAB3422331255610F0CD75,2008-05-20 13:19:22.307000000,Analyst,0.18,"$25,000-49,999"
68807,666A33721891433487629B6,2006-10-23 06:57:15.953000000,Clerical,0.15,Not displayed
75566,C67035809326355726AD0C0,2013-05-28 14:01:14.083000000,Other,0.1459,"$50,000-74,999"
19825,B59C340804060477505F9A0,2007-12-13 12:50:22.520000000,Skilled Labor,0.135,"$1-24,999"
67365,EE6D3466354871933BCA297,2009-11-03 09:52:23.670000000,Professional,0.105,"$75,000-99,999"
5385,2D72353485144685063C780,2011-12-21 14:48:55.050000000,Accountant/CPA,0.3027,"$75,000-99,999"
76395,F1513386268148835EA2FC8,2007-04-04 15:03:23.710000000,Computer Programmer,0.1,"$25,000-49,999"
92617,CD32358312841394882507C,2013-07-02 12:14:53.007000000,Other,0.2712,"$1-24,999"
83021,DD9B33643604721461A66B7,2006-07-24 20:28:36.510000000,Other,0.26,Not displayed
79107,CC193365327979479852BA6,2006-05-17 13:51:36.167000000,,0.2275,Not displayed
53251,EC6A3592070617234B0FA8F,2013-10-06 06:34:52.020000000,Truck Driver,0.198,"$25,000-49,999"
98549,CC8B3568831683035DE9BFE,2013-01-29 09:39:22.520000000,Skilled Labor,0.1299,"$25,000-49,999"
2885,8D8234310841652738AC5C9,2008-09-08 18:51:17.227000000,Other,0.13,"$25,000-49,999"
63725,AA5F3568290484092792006,2013-01-02 12:09:30.657000000,Administrative Assistant,0.3134,"$25,000-49,999"
51526,A7443530717285492D680F0,2011-10-31 05:32:01.247000000,Scientist,0.2599,"$50,000-74,999"
64208,2FB233739586298252E77F5,2006-11-27 13:59:51.487000000,Other,0.19,Not displayed
101912,D39F3593901918325565FFD,2013-11-16 12:17:35.710000000,Professional,0.2469,"$50,000-74,999"
28259,D0F134080588893990DF900,2007-12-13 11:57:53.117000000,Food Service Management,0.135,"$25,000-49,999"
40046,3E1E3388828564772F1E387,2007-04-30 05:35:42.540000000,Medical Technician,0.138,"$50,000-74,999"
57903,F24F35699487447780EF328,2013-01-26 18:32:41.850000000,Other,0.1089,"$25,000-49,999"
51583,FC38338550597575093EC5F,2007-04-06 02:01:08.360000000,Other,0.06,"$50,000-74,999"
74375,92F8343241949326519CDBB,2008-09-29 05:19:53.603000000,Executive,0.1998,"$100,000+"
65789,720C355334395380100C862,2012-07-22 16:00:15.447000000,Nurse (RN),0.2124,"$75,000-99,999"
77119,19A83577140963406CA0988,2013-04-23 09:36:34.583000000,Military Enlisted,0.1824,"$50,000-74,999"
23871,83953526802807811B4F48B,2011-09-22 20:28:36.747000000,Other,0.0565,"$100,000+"
80435,9F3B3522612636874265FB3,2011-07-23 15:57:11.743000000,Teacher,0.3199,"$50,000-74,999"
30419,AFED338463672776562B652,2007-03-23 20:21:06.190000000,Sales - Retail,0.29,"$25,000-49,999"
89916,252E338911321468414F5E6,2007-05-23 18:41:18.997000000,Computer Programmer,0.223,"$50,000-74,999"
39939,3DCA3367418546740492B22,2006-09-13 20:58:23.760000000,Other,0.19,Not displayed
46628,BD36337687160735093CAFA,2006-12-14 17:58:37.373000000,Other,0.17,Not displayed
14315,495F337000757313989A304,2006-10-11 09:46:11.577000000,Computer Programmer,0.15,Not displayed
104176,CCB73458759888534E259C6,2009-07-24 09:28:42.887000000,Engineer - Electrical,0.0945,"$100,000+"
5220,9D103526113995378D1994B,2011-09-14 13:53:06.203000000,Accountant/CPA,0.139,"$75,000-99,999"
19419,569A35972802822166D7646,2013-12-19 16:29:00.920000000,Computer Programmer,0.1314,"$75,000-99,999"
95139,95D1336452197915256419E,2006-06-21 15:43:08.950000000,,0.1625,Not displayed
50619,6417354043246358388FD7E,2012-03-07 08:24:37.270000000,Social Worker,0.1449,"$25,000-49,999"
30148,31193365679031436F9CD83,2006-08-19 17:59:48.203000000,Other,0.25,Not displayed
110834,7F4D3392935294292D5FB5F,2007-07-04 08:47:27.767000000,Other,0.23,"$50,000-74,999"
47554,521933996459508939B80C7,2007-09-23 11:56:00.633000000,Construction,0.124,"$1-24,999"
62690,321035972776533689375FA,2013-12-23 10:24:02.817000000,Other,0.1435,"$25,000-49,999"
18974,1C883557405141455DB6627,2012-09-06 07:58:22.233000000,Police Officer/Correction Officer,0.1824,"$25,000-49,999"
77032,C3F035823422396791486CA,2013-06-25 07:09:54.410000000,Psychologist,0.1459,"$25,000-49,999"
112802,D008350238755957998B763,2010-12-06 19:29:22.617000000,Retail Management,0.08,"$25,000-49,999"
8976,AB2F3557004180283C7C196,2012-09-14 07:27:30.503000000,Administrative Assistant,0.2498,"$50,000-74,999"
5909,66243582601409156DC26BD,2013-07-09 08:58:39.923000000,Teacher,0.1699,"$25,000-49,999"
78707,C44035686468771068A4A96,2013-01-13 13:37:07.680000000,Teacher,0.1346,"$50,000-74,999"
69494,076B35999669474409E1B15,2014-01-24 08:44:54.720000000,Executive,0.1535,"$100,000+"
39640,8F813394959864813971D9A,2007-07-30 14:27:03.183000000,Executive,0.13,"$100,000+"
53407,6F813592775492214D0ED09,2013-10-13 13:23:45.717000000,Engineer - Mechanical,0.144,"$50,000-74,999"
9691,5C4034034875770500E357E,2007-10-18 06:44:52.443000000,Other,0.29,"$50,000-74,999"
41974,BF04341517404377619598F,2008-03-05 15:02:20.147000000,Other,0.12,"$50,000-74,999"
98127,51E23468932147573A5E516,2009-11-16 20:35:26.117000000,Teacher,0.18,"$50,000-74,999"
73122,3EFD3471405196367257DB0,2009-12-07 18:21:23.860000000,Other,0.0715,"$1-24,999"
20749,8A843581622614099B58919,2013-06-26 06:51:56.137000000,Other,0.1299,"$75,000-99,999"
64337,C24A3390014480490FC12D0,2007-05-22 23:17:48.477000000,Professional,0.1094,"$1-24,999"
43871,300D35675700322365AB9FF,2013-01-16 18:11:45.100000000,Professional,0.1694,"$100,000+"
82221,D95534201616129054752F2,2008-04-25 16:14:39.503000000,Teacher's Aide,0.2825,"$1-24,999"
88638,5D913522034560617923AAE,2011-07-21 22:20:17.087000000,Other,0.2699,"$50,000-74,999"
64211,FB9B3416433897140183B88,2008-03-12 23:19:02.620000000,Other,0.155,"$25,000-49,999"
26376,667C3598314869427D193AB,2013-12-23 16:44:26.910000000,Sales - Commission,0.0809,"$50,000-74,999"
69533,3FF5359677710941235D7FE,2013-12-08 10:53:54.777000000,Other,0.1139,"$50,000-74,999"
104646,C7B23561644639919736957,2012-10-28 07:22:49.757000000,Sales - Commission,0.0864,"$50,000-74,999"
29131,A04436018545533014FA015,2014-02-06 10:09:19.137000000,Nurse (RN),0.1585,"$50,000-74,999"
108129,669B3372370596065E54286,2006-10-31 17:24:17.020000000,Professional,0.29,Not displayed
78921,CBCB3592281442946478FEF,2013-10-17 15:40:45.683000000,Other,0.2085,"$25,000-49,999"
16330,8D473602300781757D79843,2014-02-19 04:16:49.083000000,Other,0.1905,"$25,000-49,999"
89381,7D483575309898554708CD9,2013-04-07 08:11:31.613000000,Teacher,0.3134,"$1-24,999"
15441,AAB93430557577161A4C1D4,2008-08-24 14:27:39.947000000,Other,0.1123,"$100,000+"
79443,1C4F3553943764662290676,2012-07-30 17:04:58.473000000,Sales - Retail,0.2433,"$25,000-49,999"
20979,F748355002262941991D1B4,2012-06-22 13:31:02.793000000,Analyst,0.1551,"$75,000-99,999"
23060,6C4435946026570315C4E2A,2013-11-17 12:06:20.527000000,Professional,0.155,"$50,000-74,999"
53031,513D356862148767084F820,2013-01-31 11:43:25.523000000,Accountant/CPA,0.2639,"$75,000-99,999"
14656,565835938720508004BE344,2013-10-26 07:27:06.610000000,Tradesman - Mechanic,0.155,"$50,000-74,999"
49631,1DAD353431389384408CCA4,2011-12-12 08:54:42.067000000,Computer Programmer,0.3177,"$50,000-74,999"
74547,6D99358874480992423DBCA,2013-09-11 12:18:49.933000000,Executive,0.18,"$100,000+"
84859,3FED34177666208690CB1BE,2008-04-01 14:16:10.257000000,Food Service,0.1575,"$50,000-74,999"
113874,D1D8356719779360617F55C,2013-01-02 13:27:18.173000000,Military Enlisted,0.2712,"$25,000-49,999"
1851,36B93598375617307C30841,2014-01-08 05:48:17.977000000,Clerical,0.1465,"$25,000-49,999"
30730,E8433508340257855456369,2011-03-03 19:15:51.277000000,Other,0.3199,"$50,000-74,999"
21771,AEAD36040529187742AEBF2,2014-02-21 09:41:56.263000000,Engineer - Mechanical,0.1585,"$50,000-74,999"
110602,696734954652837365A31AD,2010-09-12 14:52:06.487000000,Professional,0.35,"$75,000-99,999"
76352,46143406310201363299EA2,2007-12-05 11:27:29.387000000,Professional,0.35,"$50,000-74,999"
10734,5383358105766815958DF14,2013-06-13 00:00:12.213000000,Other,0.1474,"$75,000-99,999"
83332,9D763422893177078BBE8FE,2008-06-12 07:11:17.623000000,Other,0.35,$0
113336,F33D3601853740351320562,2014-02-02 07:21:23.880000000,Professional,0.1655,"$100,000+"
94066,2982346561332087301F1A7,2009-10-08 06:17:45.063000000,Professional,0.1616,"$50,000-74,999"
40229,4CF33592899379928505733,2013-10-29 15:25:10.953000000,Administrative Assistant,0.1485,"$25,000-49,999"
106104,DBA635469258773688E70E9,2012-05-07 05:57:32.520000000,Attorney,0.2958,"$25,000-49,999"
44181,990535944798958198690BF,2013-11-11 16:56:37.827000000,Food Service Management,0.184,"$75,000-99,999"
78195,D85D3425719090116CC1988,2008-06-26 21:07:25.040000000,Sales - Commission,0.1742,"$50,000-74,999"
6360,9CDB359366748498071CA9B,2013-11-10 14:22:54.073000000,Retail Management,0.2015,"$100,000+"
45919,9019342261413382437E3C3,2008-06-12 14:26:24.903000000,Sales - Commission,0.059,"$25,000-49,999"
87009,84BE3422233900067DACCC9,2008-06-03 21:23:37.223000000,Car Dealer,0.177,"$75,000-99,999"
40304,8F4234802898177051DD040,2010-04-01 18:36:30.113000000,Other,0.092,"$100,000+"
30537,2E4B3595276432450080894,2013-11-12 06:59:53.627000000,Other,0.152,"$25,000-49,999"
77543,66FC3496504752194581038,2010-10-06 14:05:16.430000000,Administrative Assistant,0.275,"$1-24,999"
90986,871834797136223251FEFDD,2010-03-15 17:19:17.960000000,Clerical,0.22,"$25,000-49,999"
42992,BB0A3516915320919F0E3A8,2011-06-06 12:36:41.633000000,Professor,0.114,"$25,000-49,999"
26076,136835789433079839AEF7C,2013-05-20 21:37:18.820000000,Other,0.1519,"$25,000-49,999"
8485,9F2935906161268153FE77D,2013-09-23 15:13:08.167000000,Engineer - Electrical,0.166,"$25,000-49,999"
77888,6BA53572279783170DC4F08,2013-03-12 13:09:56.247000000,Sales - Retail,0.1899,"$75,000-99,999"
92912,B3A234841913271717865D6,2010-05-21 05:01:43.293000000,Clerical,0.35,"$25,000-49,999"
79001,4525340787894249506C91A,2007-12-04 09:45:38.730000000,Other,0.1825,"$1-24,999"
43527,58C13547788137776765F75,2012-05-29 14:09:28.427000000,Waiter/Waitress,0.0749,"$1-24,999"
37955,BFB63599290289421DF16AF,2014-01-20 07:32:39.293000000,Sales - Commission,0.1239,"$25,000-49,999"
101807,27FC360226221835998AF50,2014-02-13 03:32:54.140000000,Computer Programmer,0.201,"$75,000-99,999"
101814,6AE93574250708552DF30A9,2013-03-19 17:50:27.503000000,Other,0.0947,"$100,000+"
59434,ACF03564841207696BCDBEB,2012-12-02 14:02:57.330000000,Professional,0.2859,"$100,000+"
42117,39A134904239773814AA93E,2010-08-03 06:59:55.650000000,Other,0.3435,"$50,000-74,999"
92655,AA60359930159469634A1B6,2013-12-31 10:36:49.147000000,Other,0.1139,"$100,000+"
33464,BE02359015695910995CC07,2013-09-18 09:19:40.007000000,Food Service Management,0.1485,"$50,000-74,999"
89017,E0D33595880025378DD680F,2013-12-11 08:37:05.160000000,Sales - Commission,0.201,"$50,000-74,999"
83539,759C35604638030528A1C23,2012-10-24 10:42:21.523000000,Teacher,0.3177,"$50,000-74,999"
83138,579C3586378532174770740,2013-08-07 12:17:03.930000000,Other,0.2024,"$1-24,999"
90300,86A736002524226487DFCCB,2014-01-09 07:13:43.380000000,Teacher,0.1039,"$25,000-49,999"
45301,5CA0359446006007942AE69,2013-11-04 10:43:45.640000000,,0.195,"$75,000-99,999"
84222,6D973477730130546CE2BC4,2010-02-19 20:44:43.503000000,Other,0.34,"$25,000-49,999"
79063,6C7D3552490491885281BE8,2012-07-16 10:09:17.523000000,Retail Management,0.1551,"$25,000-49,999"
97114,ED353595910005757995AE4,2013-11-25 15:31:00.170000000,Teacher,0.1875,"$50,000-74,999"
10884,9FC43567985239179DC4E32,2013-01-04 00:46:45.653000000,Other,0.3165,"$50,000-74,999"
87550,AFEE354726271624834461C,2012-05-21 10:39:12.610000000,Professional,0.1385,"$25,000-49,999"
46604,DADF352516536692677EC88,2011-09-11 10:27:08.703000000,Professional,0.3199,"$50,000-74,999"
113305,D3EA35746514484729F3E08,2013-03-27 05:23:13.577000000,Professional,0.1769,"$75,000-99,999"
97461,5D70358408996878110429A,2013-07-05 14:56:47.700000000,Fireman,0.2736,"$50,000-74,999"
